"longitude","latitude","id","group"
-115.310149543856,35.4737185890562,"etort-189","N"
-115.301848221382,35.4874587436344,"etort-190","N"
-115.278091826858,35.4922066682194,"etort-191","N"
-115.290914537829,35.4889721885522,"etort-192","N"
-115.283264775523,35.4837788917358,"etort-193","N"
-114.546243272574,36.7470151852377,"etort-194","N"
-116.825165439747,34.7568580059696,"etort-195","S"
-116.030844302023,36.3961418350266,"etort-196","N"
-115.814980947172,36.117227965889,"etort-197","N"
-114.93606629368,35.9778576900808,"etort-202","N"
-115.285326355325,35.8036485250145,"etort-203","N"
-117.095740330595,35.0325866656016,"etort-208","S"
-117.121483540401,35.2113306667359,"etort-209","S"
-114.85008286507,35.2605631311142,"etort-210","S"
-117.40086636811,35.062467817189,"etort-211","S"
-117.491083201823,35.0427941210411,"etort-212","S"
-116.483088432028,34.7592499932007,"etort-213","S"
-117.270612455641,34.8762031490269,"etort-214","S"
-116.53512967416,35.1090297292665,"etort-215","S"
-116.668580815195,35.107502259138,"etort-216","S"
-116.928079262159,34.9484522466472,"etort-217","S"
-117.224345152373,35.0075651287625,"etort-218","S"
-117.008336756037,34.9721982954433,"etort-219","S"
-116.846649562831,34.6073701358096,"etort-220","S"
-115.518776369865,33.5669529700869,"etort-221","S"
-115.358536500878,33.4732887098248,"etort-222","S"
-115.474728400447,33.4852797620338,"etort-223","S"
-115.593252719859,33.513584532976,"etort-224","S"
-114.891720594812,33.1749523378656,"etort-225","S"
-114.853063760186,33.4853366972065,"etort-226","S"
-114.971337675703,33.4185356712419,"etort-227","S"
-115.317116643219,34.0450191099243,"etort-228","S"
-117.661114986343,35.3206471391081,"etort-229","S"
-115.022857601921,34.4686809802719,"etort-230","S"
-114.664892726421,35.4323248774455,"etort-231","S"
-114.940384972977,35.5948916813869,"etort-232","N"
-115.196769232003,35.8013879294415,"etort-233","N"
-114.992617899542,35.6498436436428,"etort-234","N"
-114.98897217824,36.3157725758794,"etort-235","N"
-115.336143246522,36.2883436892347,"etort-236","N"
-114.964444205274,36.6073245657856,"etort-237","N"
-114.456083760177,36.7679398313198,"etort-238","N"
-114.837742261997,37.0736703725236,"etort-239","N"
-114.979669651811,37.0247918821854,"etort-240","N"
-114.920058230965,36.8609534069732,"etort-241","N"
-114.602975951354,36.8674613189229,"etort-242","N"
-114.206407586541,37.0000791896931,"etort-243","N"
-115.422239631248,34.0916364479261,"etort-244","S"
-116.805445677642,34.6064366444913,"etort-245","S"
-114.851080099149,34.7353790046867,"etort-247","S"
-114.793695093038,34.4843131159056,"etort-248","S"
-114.942015949676,35.3962425638259,"etort-249","S"
-114.9875993447,35.7032437052957,"etort-250","N"
-115.286274719213,35.9918826272734,"etort-251","N"
-115.253856847792,35.8459349926043,"etort-252","N"
-114.677293218993,34.5529898046072,"etort-253","S"
-116.86026213548,34.580828373553,"etort-254","S"
-116.500074241161,35.124580077175,"etort-255","S"
-114.705965304104,34.5095994737632,"etort-256","S"
-117.669816135384,34.7982001671127,"etort-257","S"
-114.965022754766,35.7405176990338,"etort-258","N"
-115.350800668989,34.8886529560218,"etort-259","S"
-115.350800668989,34.8886529560218,"etort-260","S"
-114.59551608891,34.2870919679105,"etort-261","S"
-115.238845795743,33.3651148728962,"etort-262","S"
-115.515996837215,33.5083631404782,"etort-263","S"
-115.424155982989,33.491762346801,"etort-264","S"
-114.924494104787,35.3281143163092,"etort-265","S"
-114.831659108194,35.8782944763889,"etort-266","N"
-114.789964241875,35.1656889399128,"etort-267","S"
-115.036918881854,35.6858848661654,"etort-268","N"
-115.768237164987,35.98824446725,"etort-269","N"
-114.89064842246,35.2814349100952,"etort-270","S"
-114.871189655683,35.6088512029771,"etort-271","N"
-115.029220528991,35.7548563561821,"etort-272","N"
-114.652731558459,34.566980497808,"etort-273","S"
-115.662710236938,35.0650813985515,"etort-274","N"
-115.384274929096,33.5011957772018,"etort-275","S"
-116.790021740192,34.5854982876128,"etort-276","S"
-116.860107784983,34.8024789177998,"etort-277","S"
-114.600293533028,34.472688054191,"etort-278","S"
-114.966618437996,36.5321266633791,"etort-282","N"
-114.910772080209,36.9916842507723,"etort-283","N"
-116.881552777005,34.8209429053815,"etort-284","S"
-115.885310362889,36.5421818725256,"etort-285","N"
-115.302974332383,35.8484959564178,"etort-286","N"
-114.714065987654,34.4666027078666,"etort-287","S"
-114.893863575796,36.7584379001069,"etort-288","N"
-114.729993510909,36.7605513258965,"etort-289","N"
-115.281656694564,35.5033914793588,"etort-296","N"
-115.431453805145,35.5397547503215,"etort-297","N"
