"etort","PC 1","PC 2","PC 3","PC 4","PC 5","PC 6","PC 7","PC 8","PC 9","PC 10"
"etort-87",0.045647903456353,-0.000153857764198237,-0.0090866831631349,0.00504997127769184,-0.00168112841566873,-0.000530063601601532,-0.00557220892341331,-0.0092951500971156,0.00322727069712653,-0.00255393541852059
"etort-88",0.00856958175838008,-0.0137301116307457,-0.00820256355014557,0.0218475335445467,0.0020253180075724,0.00216911018071957,-0.00410219320998194,-0.00260267949793504,0.000669057502762973,-0.00242251911580129
"etort-89",0.0434251059192425,-0.0112024748449674,0.00393196800950354,0.0307385209136349,-0.0217483101538503,-0.00489560103776686,-0.0106828794764402,-0.011149682833169,0.00796818033216633,-0.00498670834064993
"etort-90",0.0793289369951648,-0.0224095263597277,0.0345987165250085,0.124979889930947,-0.0701410854295154,-0.0219040900161153,-0.0243998683922491,-0.0610465731618455,0.0687434026432831,-0.0230838244832341
"etort-91",0.0115528550601611,-0.0292074786913715,-0.0191442344371673,0.0533830240807301,0.00443149636350032,0.0126518516394926,-0.0163283810439273,-0.00855449249871279,-0.00215627838802315,0.00371534575842917
"etort-92",0.0183837284731681,-0.0102022414333182,-0.00860378807748711,0.0158129986023183,-0.000270961059329199,0.00294561091107246,-0.00358427979867014,-0.00423422862563216,0.00162595832782449,-0.00132898654741306
"etort-93",0.0474992516960728,0.000282813612248334,-0.0114512243675143,0.00302892350410605,0.00016220489318655,0.00162729684748769,-0.006205570132835,-0.00677442461166262,-0.000187005801679488,0.000305760271620379
"etort-94",0.0340101187598027,-0.00894848351112103,-0.00862200327645977,0.0191666588328923,-0.00453064411620712,0.00274991524886685,-0.00400198845506481,-0.00968499420302144,-0.000534443310152953,-0.00184135411723774
"etort-95",0.0640192015479733,0.0082740966369183,0.0026062658833201,-0.00441902651362219,-0.00626775734149539,-0.000133832183586449,0.00527565004466947,-0.00720912981541214,-8.80306659151657e-05,0.000224615872745287
"etort-96",-0.0539467057911629,-0.0355494225176314,0.0717368536946515,-0.0223003372180767,0.0172591379683729,0.0131988567704017,-0.00380754443099305,-0.00718206491534104,-0.0100399786196502,0.000604582429330262
"etort-97",-0.0582680151838072,-0.0321268747665089,0.110040639987521,-0.035244439710827,0.0256629876641295,0.0101253899558839,-0.000731183958145072,-0.000532582694892496,-0.00619188167096987,-0.00202296920424273
