etort1 etort2 DISTANCE
etort-4 etort-47 117513.7348
etort-4 etort-48 119552.0038
etort-4 etort-49 90180.17078
etort-4 etort-50 88631.12395
etort-4 etort-51 86039.52186
etort-4 etort-52 74225.61394
etort-4 etort-53 247975.7714
etort-4 etort-54 82309.25871
etort-4 etort-55 120504.9013
etort-4 etort-56 145710.4026
etort-4 etort-57 74280.28413
etort-4 etort-58 345843.6841
etort-4 etort-59 181018.5044
etort-4 etort-60 106796.5273
etort-4 etort-61 64650.55966
etort-4 etort-62 209909.2891
etort-4 etort-63 19945.97315
etort-4 etort-64 38043.3574
etort-4 etort-65 47140.46432
etort-4 etort-66 55365.34921
etort-4 etort-67 51206.55421
etort-4 etort-68 45210.5375
etort-4 etort-69 86037.29337
etort-4 etort-70 92175.01831
etort-4 etort-71 67684.2187
etort-4 etort-72 86262.55279
etort-4 etort-73 22444.21629
etort-4 etort-74 95561.11467
etort-4 etort-75 91438.89807
etort-4 etort-76 90754.08432
etort-4 etort-77 48332.71443
etort-4 etort-78 251869.578
etort-4 etort-79 186288.8091
etort-4 etort-80 194257.2497
etort-4 etort-81 129230.887
etort-4 etort-82 128326.465
etort-4 etort-83 128952.4375
etort-4 etort-84 126101.7794
etort-4 etort-85 125961.0586
etort-4 etort-86 306554.2334
etort-4 etort-87 194854.8321
etort-4 etort-88 97377.73062
etort-4 etort-89 128528.917
etort-4 etort-90 131667.9082
etort-4 etort-91 94046.7694
etort-4 etort-92 128367.3918
etort-4 etort-93 191441.0997
etort-4 etort-94 149790.8096
etort-4 etort-95 188060.6399
etort-4 etort-96 49731.88452
etort-4 etort-97 102812.3968
etort-4 etort-98 71005.2937
etort-4 etort-99 91797.89826
etort-4 etort-100 106994.54
etort-4 etort-102 73473.55617
etort-4 etort-103 41540.96219
etort-4 etort-104 79669.82877
etort-4 etort-105 90655.38855
etort-4 etort-106 118530.3069
etort-4 etort-107 119852.0074
etort-4 etort-108 139615.1324
etort-4 etort-109 86445.094
etort-4 etort-110 114554.9594
etort-4 etort-111 103310.2763
etort-4 etort-112 183822.4618
etort-4 etort-113 171458.8576
etort-4 etort-115 92816.88418
etort-4 etort-116 101650.2643
etort-4 etort-117 119461.9044
etort-4 etort-119 191452.1168
etort-4 etort-120 183417.5678
etort-4 etort-121 50384.66483
etort-4 etort-122 51839.57378
etort-4 etort-123 50154.94528
etort-4 etort-124 55121.99584
etort-4 etort-125 48091.00695
etort-4 etort-126 61900.17077
etort-4 etort-127 60091.61476
etort-4 etort-128 59061.39594
etort-4 etort-129 63316.80504
etort-4 etort-130 143607.6834
etort-4 etort-131 153361.7924
etort-4 etort-132 144968.0479
etort-4 etort-133 143385.3886
etort-4 etort-134 141196.371
etort-4 etort-135 139726.0978
etort-4 etort-136 146083.3094
etort-4 etort-137 139674.9428
etort-4 etort-138 144515.7293
etort-4 etort-139 148794.7321
etort-4 etort-140 144859.7538
etort-4 etort-141 148218.2574
etort-4 etort-142 147804.2068
etort-4 etort-143 139136.3601
etort-4 etort-144 138330.1478
etort-4 etort-145 142159.7108
etort-4 etort-146 146389.413
etort-4 etort-147 150540.086
etort-4 etort-148 142667.3272
etort-4 etort-149 145072.035
etort-4 etort-150 147578.9145
etort-4 etort-151 139907.5768
etort-4 etort-152 143197.4313
etort-4 etort-153 143366.3716
etort-4 etort-154 142031.6201
etort-4 etort-155 144369.6932
etort-4 etort-156 143228.2259
etort-4 etort-157 148606.2528
etort-4 etort-158 146988.835
etort-4 etort-159 138388.1204
etort-4 etort-161 136497.4609
etort-4 etort-162 136950.227
etort-4 etort-163 146311.8224
etort-4 etort-164 145194.6646
etort-4 etort-166 147109.676
etort-4 etort-167 147600.1613
etort-4 etort-168 149524.0434
etort-4 etort-169 152004.0267
etort-4 etort-170 155445.9904
etort-4 etort-172 152320.0999
etort-4 etort-173 154466.3905
etort-4 etort-174 155600.6227
etort-4 etort-175 154977.7439
etort-4 etort-176 155183.6746
etort-4 etort-177 153336.7343
etort-4 etort-178 154237.9193
etort-4 etort-179 152119.0683
etort-4 etort-180 155789.02
etort-4 etort-181 157046.6392
etort-4 etort-182 151636.8695
etort-4 etort-183 150712.5548
etort-4 etort-184 152354.2676
etort-4 etort-185 151081.7757
etort-4 etort-186 159192.0319
etort-4 etort-187 151445.3306
etort-5 etort-6 105603.9269
etort-5 etort-7 122994.903
etort-5 etort-8 105293.4245
etort-5 etort-9 104143.778
etort-5 etort-10 169899.4237
etort-5 etort-11 102885.5335
etort-5 etort-12 99444.14119
etort-5 etort-13 90507.73088
etort-5 etort-14 111866.1197
etort-5 etort-15 228786.7366
etort-5 etort-16 32548.31366
etort-5 etort-17 294845.5779
etort-5 etort-18 112776.8114
etort-5 etort-19 66058.45261
etort-5 etort-20 66065.81307
etort-5 etort-21 158551.0238
etort-5 etort-22 151541.3544
etort-5 etort-23 83201.6748
etort-5 etort-24 125730.9374
etort-5 etort-25 108449.8573
etort-5 etort-26 120018.9898
etort-5 etort-27 189835.2714
etort-5 etort-28 201596.6747
etort-5 etort-30 125811.1879
etort-5 etort-31 270845.6196
etort-5 etort-32 112299.4813
etort-5 etort-33 71542.80876
etort-5 etort-34 101740.1145
etort-5 etort-35 117380.97
etort-5 etort-36 167302.8892
etort-5 etort-37 246714.5458
etort-5 etort-38 214676.9944
etort-5 etort-39 107999.8507
etort-5 etort-40 89555.00001
etort-5 etort-41 87842.16694
etort-5 etort-42 96778.49743
etort-5 etort-43 39858.76783
etort-5 etort-44 42122.15755
etort-5 etort-45 41051.32517
etort-5 etort-46 76730.85852
etort-5 etort-47 77861.73947
etort-5 etort-48 79761.77717
etort-5 etort-49 49219.57338
etort-5 etort-50 47772.2507
etort-5 etort-51 45147.75339
etort-5 etort-52 37364.49027
etort-5 etort-53 211635.9942
etort-5 etort-54 45426.20822
etort-5 etort-55 80818.65953
etort-5 etort-56 104757.492
etort-5 etort-57 114654.5668
etort-5 etort-58 305136.174
etort-5 etort-59 143391.8764
etort-5 etort-60 102820.1649
etort-5 etort-61 105444.197
etort-5 etort-62 171725.2953
etort-5 etort-63 60845.95041
etort-5 etort-64 70059.01915
etort-5 etort-65 88107.98635
etort-5 etort-66 80351.41055
etort-5 etort-67 80697.85933
etort-5 etort-68 71952.47424
etort-5 etort-69 70891.10593
etort-5 etort-70 51293.75286
etort-5 etort-71 108033.4219
etort-5 etort-72 127276.0267
etort-5 etort-73 60205.44259
etort-5 etort-74 79400.02885
etort-5 etort-75 50423.17683
etort-5 etort-76 49741.88264
etort-5 etort-77 7478.548656
etort-5 etort-78 210905.3275
etort-5 etort-79 145271.895
etort-5 etort-80 153302.9313
etort-5 etort-81 89377.19906
etort-5 etort-82 88669.47193
etort-5 etort-83 89272.04929
etort-5 etort-84 86528.50319
etort-5 etort-85 86191.20374
etort-5 etort-86 266594.3757
etort-5 etort-87 153844.2645
etort-5 etort-88 56948.32683
etort-5 etort-89 88983.98297
etort-5 etort-90 92138.6701
etort-5 etort-91 53547.88799
etort-5 etort-92 87385.82684
etort-5 etort-93 150942.5411
etort-5 etort-94 108792.9646
etort-5 etort-95 147629.6704
etort-5 etort-96 17834.11259
etort-5 etort-97 99028.9469
etort-5 etort-98 64141.79805
etort-5 etort-99 78564.65781
etort-5 etort-100 109924.3368
etort-5 etort-102 72816.17624
etort-5 etort-103 24043.287
etort-5 etort-104 67150.60036
etort-5 etort-105 83741.81811
etort-5 etort-106 154816.6276
etort-5 etort-107 157255.9706
etort-5 etort-108 174685.4795
etort-5 etort-109 126006.4303
etort-5 etort-110 153359.2361
etort-5 etort-111 141816.2685
etort-5 etort-112 147300.9569
etort-5 etort-113 133130.2883
etort-5 etort-115 64808.16999
etort-5 etort-116 76452.21789
etort-5 etort-117 93954.17396
etort-5 etort-119 181925.9735
etort-5 etort-120 165769.4457
etort-5 etort-121 88801.13603
etort-5 etort-122 89565.18006
etort-5 etort-123 87782.37669
etort-5 etort-124 92969.7393
etort-5 etort-125 85415.78199
etort-5 etort-126 101013.1877
etort-5 etort-127 98988.50655
etort-5 etort-128 97979.26156
etort-5 etort-129 102289.0036
etort-5 etort-130 103131.8692
etort-5 etort-131 113016.0215
etort-5 etort-132 104327.4267
etort-5 etort-133 103111.8784
etort-5 etort-134 100693.1863
etort-5 etort-135 99337.55162
etort-5 etort-136 105673.1172
etort-5 etort-137 99386.58473
etort-5 etort-138 103826.3623
etort-5 etort-139 108173.2203
etort-5 etort-140 104455.1881
etort-5 etort-141 107502.7984
etort-5 etort-142 107276.6135
etort-5 etort-143 98570.75187
etort-5 etort-144 97975.09632
etort-5 etort-145 101553.055
etort-5 etort-146 105684.3047
etort-5 etort-147 110172.6359
etort-5 etort-148 103835.3683
etort-5 etort-149 105606.2077
etort-5 etort-150 106984.1259
etort-5 etort-151 100976.4972
etort-5 etort-152 103796.6757
etort-5 etort-153 103757.1145
etort-5 etort-154 102764.3
etort-5 etort-155 104808.3579
etort-5 etort-156 104161.9263
etort-5 etort-157 108134.7385
etort-5 etort-158 106343.809
etort-5 etort-159 98239.91019
etort-5 etort-161 96440.71348
etort-5 etort-162 96699.09415
etort-5 etort-163 105802.3171
etort-5 etort-164 104654.6691
etort-5 etort-166 106652.1442
etort-5 etort-167 107259.2895
etort-5 etort-168 109007.8381
etort-5 etort-169 111592.0038
etort-5 etort-170 115764.6111
etort-5 etort-172 112735.404
etort-5 etort-173 114826.0266
etort-5 etort-174 115766.9388
etort-5 etort-175 115114.1432
etort-5 etort-176 115251.914
etort-5 etort-177 113422.5417
