"etort1","etort2","divergence"
"etort-26","etort-33",0.193147
"etort-27","etort-33",0.204556
"etort-28","etort-33",0.206204
"etort-30","etort-33",0.209117
"etort-31","etort-33",0.224939
"etort-32","etort-33",0.198725
"etort-33","etort-33",0.12679
"etort-1","etort-34",0.212664
"etort-2","etort-34",0.203228
"etort-3","etort-34",0.203251
"etort-4","etort-34",0.200079
"etort-5","etort-34",0.195905
"etort-6","etort-34",0.203901
"etort-7","etort-34",0.20658
"etort-8","etort-34",0.201765
"etort-9","etort-34",0.190942
"etort-10","etort-34",0.201422
"etort-11","etort-34",0.203645
"etort-12","etort-34",0.212969
"etort-13","etort-34",0.201405
"etort-14","etort-34",0.20171
"etort-15","etort-34",0.222559
"etort-16","etort-34",0.206241
"etort-17","etort-34",0.223281
"etort-18","etort-34",0.200823
"etort-19","etort-34",0.202506
"etort-20","etort-34",0.203165
"etort-21","etort-34",0.199338
"etort-22","etort-34",0.20224
"etort-23","etort-34",0.206793
"etort-24","etort-34",0.20151
"etort-25","etort-34",0.207165
"etort-26","etort-34",0.19214
"etort-27","etort-34",0.205978
"etort-28","etort-34",0.205643
"etort-30","etort-34",0.211197
"etort-31","etort-34",0.228076
"etort-32","etort-34",0.201608
"etort-33","etort-34",0.195743
"etort-34","etort-34",0.125073
"etort-1","etort-35",0.209585
"etort-2","etort-35",0.208472
"etort-3","etort-35",0.208532
"etort-4","etort-35",0.209998
"etort-5","etort-35",0.205095
"etort-6","etort-35",0.205315
"etort-7","etort-35",0.203783
"etort-8","etort-35",0.197409
"etort-9","etort-35",0.20173
"etort-10","etort-35",0.206905
"etort-11","etort-35",0.208727
"etort-12","etort-35",0.20627
"etort-13","etort-35",0.207313
"etort-14","etort-35",0.211592
"etort-15","etort-35",0.209929
"etort-16","etort-35",0.210542
"etort-17","etort-35",0.211942
"etort-18","etort-35",0.207105
"etort-19","etort-35",0.209834
"etort-20","etort-35",0.210201
"etort-21","etort-35",0.207444
"etort-22","etort-35",0.205562
"etort-23","etort-35",0.208345
"etort-24","etort-35",0.208079
"etort-25","etort-35",0.210042
"etort-26","etort-35",0.203227
"etort-27","etort-35",0.210619
"etort-28","etort-35",0.209474
"etort-30","etort-35",0.200673
"etort-31","etort-35",0.214099
"etort-32","etort-35",0.202406
"etort-33","etort-35",0.202914
"etort-34","etort-35",0.20345
"etort-35","etort-35",0.130354
"etort-1","etort-36",0.19953
"etort-2","etort-36",0.221808
"etort-3","etort-36",0.219281
"etort-4","etort-36",0.220074
"etort-5","etort-36",0.217846
"etort-6","etort-36",0.219068
"etort-7","etort-36",0.209056
"etort-8","etort-36",0.21156
"etort-9","etort-36",0.217749
"etort-10","etort-36",0.215936
"etort-11","etort-36",0.215331
"etort-12","etort-36",0.200027
"etort-13","etort-36",0.2182
"etort-14","etort-36",0.223099
"etort-15","etort-36",0.191836
"etort-16","etort-36",0.223298
"etort-17","etort-36",0.190337
"etort-18","etort-36",0.218471
"etort-19","etort-36",0.220747
"etort-20","etort-36",0.22078
"etort-21","etort-36",0.216041
"etort-22","etort-36",0.216833
"etort-23","etort-36",0.216987
"etort-24","etort-36",0.212426
"etort-25","etort-36",0.217432
"etort-26","etort-36",0.218372
"etort-27","etort-36",0.219136
"etort-28","etort-36",0.218996
"etort-30","etort-36",0.202975
"etort-31","etort-36",0.192107
"etort-32","etort-36",0.211308
"etort-33","etort-36",0.218465
"etort-34","etort-36",0.219604
"etort-35","etort-36",0.211075
"etort-36","etort-36",0.120003
"etort-1","etort-37",0.197484
"etort-2","etort-37",0.222404
"etort-3","etort-37",0.224305
"etort-4","etort-37",0.224213
"etort-5","etort-37",0.220251
"etort-6","etort-37",0.22118
"etort-7","etort-37",0.20747
"etort-8","etort-37",0.212297
"etort-9","etort-37",0.221748
"etort-10","etort-37",0.220641
"etort-11","etort-37",0.219475
"etort-12","etort-37",0.197637
"etort-13","etort-37",0.221476
"etort-14","etort-37",0.224922
"etort-15","etort-37",0.186186
"etort-16","etort-37",0.226237
"etort-17","etort-37",0.184143
"etort-18","etort-37",0.222916
"etort-19","etort-37",0.224089
"etort-20","etort-37",0.225683
"etort-21","etort-37",0.221029
"etort-22","etort-37",0.219634
"etort-23","etort-37",0.220357
"etort-24","etort-37",0.217553
"etort-25","etort-37",0.222345
"etort-26","etort-37",0.220726
"etort-27","etort-37",0.223828
"etort-28","etort-37",0.222528
"etort-30","etort-37",0.204774
"etort-31","etort-37",0.186461
"etort-32","etort-37",0.212776
"etort-33","etort-37",0.223109
"etort-34","etort-37",0.223928
"etort-35","etort-37",0.210789
"etort-36","etort-37",0.180404
"etort-37","etort-37",0.109734
"etort-1","etort-38",0.203259
"etort-2","etort-38",0.223427
"etort-3","etort-38",0.224346
"etort-4","etort-38",0.225356
"etort-5","etort-38",0.223317
"etort-6","etort-38",0.222356
"etort-7","etort-38",0.210469
"etort-8","etort-38",0.215491
"etort-9","etort-38",0.22389
"etort-10","etort-38",0.221588
"etort-11","etort-38",0.222089
"etort-12","etort-38",0.200445
"etort-13","etort-38",0.223237
"etort-14","etort-38",0.225233
"etort-15","etort-38",0.185497
"etort-16","etort-38",0.228596
"etort-17","etort-38",0.178408
"etort-18","etort-38",0.224932
"etort-19","etort-38",0.226166
"etort-20","etort-38",0.2276
"etort-21","etort-38",0.22132
"etort-22","etort-38",0.220438
"etort-23","etort-38",0.221973
"etort-24","etort-38",0.2211
"etort-25","etort-38",0.225145
"etort-26","etort-38",0.223434
"etort-27","etort-38",0.225583
"etort-28","etort-38",0.225485
"etort-30","etort-38",0.201922
"etort-31","etort-38",0.179858
"etort-32","etort-38",0.215458
