EM_Tort_ID,Sample_name (collector tort ID),Date_collected,Sex,UTM_Zone,Easting,Northing,MCL_MM,Initial_Weight,Location_ID,Tissue Box,Shearing cycles,Cleaned,Sheared DNA concentration (post cleanup if applicable),uL to get 450ng,Actual ng going into lib prep,beads to add,Adapter,Lib prepped?,Lib plate well,Final lib concentration (ng/uL),Yield,Final library concentration (nM),Sent to Berk?,Lane Number,Berkeley Sample #
etort-90,2012079,06/11/12,,11N,648920,3920769,,,Ivanpah,2012box,7,No,21.093,21.334,450.000,64.003,BFIDT-010,11-Jun-14,D3,3.29989534,24.20%,,30-Jul-14,HSEM014,HSEM014e
etort-91,2012080,06/12/12,,11N,630860,3885755,,,Kelso Wash,2012box,7,No,12.635,35.615,450.000,106.846,BFIDT-011,11-Jun-14,E3,3.568522303,26.17%,,19-Jun-14,HSEM003,HSEM003G
etort-92,2012085,06/19/12,,11N,623966,3920660,,,Shadow Valley,2012box,7,No,11.551,38.957,450.000,116.872,BFIDT-012,11-Jun-14,F3,8.256785447,60.55%,,19-Jun-14,HSEM003,HSEM003H
etort-93,2012087,06/22/12,,11N,592503,3981844,,,Pahrump,2012box,7,No,16.728,26.900,450.000,80.701,BFIDT-013,11-Jun-14,G3,2.447166708,17.95%,,19-Jun-14,HSEM003,HSEM003i
etort-94,2012088,06/25/12,,11N,615610,3942092,,,Shadow Valley,2012box,7,No,12.113,37.151,450.000,111.454,BFIDT-014,11-Jun-14,H3,3.117986544,22.87%,,19-Jun-14,HSEM003,HSEM003J
etort-95,bh099,05/28/04,Female,11N,647510,3978369,209,,Las Vegas Valley SW,Bird Springs Valley,7,1.0,28.41961613,15.83413365,450,47.50240094,BFIDT-015,28-Jul-14,1-A1,5.690333333,41.73%,,30-Jul-14,HSEM012,HSEM012i
etort-96,014CM2004-1,04/28/04,Male,11N,636594,3839173,260,,Chemehuevi,Chemehuevi,7,1.0,24.24722662,18.55882353,450,55.67647059,BFIDT-016,28-Jul-14,1-B1,7.533,55.24%,,30-Jul-14,HSEM012,HSEM012j
etort-97,025CM2004-3,04/30/04,Female,11N,718143,3822367,220,,Chemehuevi,Chemehuevi,7,1.0,16.58654693,23,381.4905793,69,BFIDT-001,28-Jul-14,1-C1,6.157,53.26%,,30-Jul-14,HSEM013,HSEM013a
etort-98,035CM2004-1,04/30/04,Male,11N,683224,3824298,180,,Chemehuevi,Chemehuevi,7,1.0,22.44145096,20.05217937,450,60.15653811,BFIDT-004,28-Jul-14,1-D1,7.881666667,57.80%,,30-Jul-14,HSEM013,HSEM013b
etort-99,058CM2004-2,04/29/04,Male,11N,697969,3840501,216,,Chemehuevi,Chemehuevi,7,1.0,28.69079063,15.6844754,450,47.05342621,BFIDT-006,28-Jul-14,1-E1,5.089,37.32%,,30-Jul-14,HSEM013,HSEM013c
etort-100,061CM2004-1,04/30/04,Male,11N,726013,3805326,210,,Chemehuevi,Chemehuevi,7,1.0,30.48071844,14.76343154,450,44.29029463,BFIDT-009,28-Jul-14,1-F1,5.537666667,40.61%,,30-Jul-14,HSEM013,HSEM013d
etort-102,076CM2004-1,04/30/04,Female,11N,689967,3814176,195,,Chemehuevi,Chemehuevi,7,1.0,33.17133298,13.56593057,450,40.6977917,BFIDT-012,28-Jul-14,1-G1,2.815666667,20.65%,1.32,30-Jul-14,HSEM013,HSEM013g
etort-103,077CM2004-1,04/29/04,Male,11N,642883,3826902,240,,Chemehuevi,Chemehuevi,7,1.0,25.16200035,17.88411071,450,53.65233213,BFIDT-014,28-Jul-14,1-H1,2.482333333,18.20%,1.67,30-Jul-14,HSEM013,HSEM013h
etort-104,079CM2004-2,04/30/04,Male,11N,686848,3835404,200,,Chemehuevi,Chemehuevi,7,1.0,24.28596584,18.52921984,450,55.58765951,BFIDT-015,28-Jul-14,1-A3,6.659666667,48.84%,,30-Jul-14,HSEM013,HSEM013i
etort-105,082CM2004-2,05/01/04,Male,11N,703279,3827727,240,,Chemehuevi,Chemehuevi,7,1.0,28.36502905,15.86460564,450,47.59381693,BFIDT-016,28-Jul-14,1-B3,6.395666667,46.90%,,30-Jul-14,HSEM013,HSEM013j
etort-106,017CK2004-1,05/07/04,Male,11N,683000,3692080,245,,Chuckwalla Valley and Bench,Chuckwalla DWMA,7,1.0,27.26184187,16.5065883,450,49.51976489,BFIDT-001,28-Jul-14,1-C3,6.491666667,47.61%,,30-Jul-14,HSEM014,HSEM014a
