"etort1","etort2","distance"
"etort-18","etort-63",140164.14503757
"etort-19","etort-63",7410.30512884159
"etort-20","etort-63",7106.13284862785
"etort-21","etort-63",183768.848296864
"etort-22","etort-63",172239.658027935
"etort-23","etort-63",128733.148910905
"etort-24","etort-63",168310.800174932
"etort-25","etort-63",150542.673723632
"etort-26","etort-63",107006.053356877
"etort-27","etort-63",220219.182946485
"etort-28","etort-63",234065.076328967
"etort-33","etort-63",104195.193219484
"etort-34","etort-63",102735.895032149
"etort-39","etort-63",111869.869877536
"etort-40","etort-63",105828.202200881
"etort-41","etort-63",125929.190320682
"etort-42","etort-63",139936.539033988
"etort-43","etort-63",93923.0388855117
"etort-44","etort-63",96208.716340207
"etort-45","etort-63",86716.6236536484
"etort-52","etort-63",92642.1230892925
"etort-54","etort-63",100579.709192785
"etort-57","etort-63",54447.3663327806
"etort-60 (sheared2)","etort-63",116266.268676881
"etort-61","etort-63",45711.214132351
"etort-63","etort-63",0
"etort-2","etort-64",59512.2773030433
"etort-3","etort-64",18813.0338693158
"etort-4","etort-64",38005.5420286166
"etort-5","etort-64",70047.2815082899
"etort-6","etort-64",170745.982746201
"etort-9","etort-64",130107.047228291
"etort-10","etort-64",156354.857656012
"etort-11","etort-64",120500.540449265
"etort-13","etort-64",40559.5279675659
"etort-14","etort-64",51697.972519708
"etort-16","etort-64",83425.2763995145
"etort-18","etort-64",116046.829233478
"etort-19","etort-64",39635.5560076274
"etort-20","etort-64",29233.2703824945
"etort-21","etort-64",157038.338346046
"etort-22","etort-64",144184.384495715
"etort-23","etort-64",115209.44801386
"etort-24","etort-64",150560.301066661
"etort-25","etort-64",133366.750263521
"etort-26","etort-64",140869.204506114
"etort-27","etort-64",194736.200708655
"etort-28","etort-64",209233.033226919
"etort-33","etort-64",129517.58558232
"etort-34","etort-64",135421.264327036
"etort-39","etort-64",144335.06800762
"etort-40","etort-64",135824.497521482
"etort-41","etort-64",149961.790546243
"etort-42","etort-64",162088.168653827
"etort-43","etort-64",109079.382136549
"etort-44","etort-64",111402.475759212
"etort-45","etort-64",106054.218510531
"etort-52","etort-64",106933.516329093
"etort-54","etort-64",115092.240888185
"etort-57","etort-64",69534.7993225358
"etort-60 (sheared2)","etort-64",88158.8196109732
"etort-61","etort-64",48068.0296695634
"etort-63","etort-64",33893.2576691928
"etort-64","etort-64",0
"etort-2","etort-65",86659.5850079637
"etort-3","etort-65",47243.0865610421
"etort-4","etort-65",47150.7173085778
"etort-5","etort-65",88127.6816222695
"etort-6","etort-65",174409.488454272
"etort-9","etort-65",111443.797739868
"etort-10","etort-65",193263.427200524
"etort-11","etort-65",157189.019378717
"etort-13","etort-65",2851.2058251647
"etort-14","etort-65",25097.4192986954
"etort-16","etort-65",110793.202144459
"etort-18","etort-65",153763.451816343
"etort-19","etort-65",25281.8257997169
"etort-20","etort-65",22048.3351918674
"etort-21","etort-65",194794.677238474
