"etort1","etort2","distance"
"etort-56 (sheared2)","etort-90",40031.7850245792
"etort-58","etort-90",215463.41393021
"etort-59","etort-90",53594.1163647525
"etort-62","etort-90",80330.2380394762
"etort-78","etort-90",129881.111592252
"etort-79","etort-90",65124.6471169196
"etort-80","etort-90",76272.3104510633
"etort-81","etort-90",4284.58062995128
"etort-82","etort-90",3642.37470048722
"etort-83","etort-90",3185.87341091516
"etort-84","etort-90",5610.50978219504
"etort-85","etort-90",6322.72797290046
"etort-86","etort-90",174881.706019504
"etort-87","etort-90",71461.1757316282
"etort-89","etort-90",3153.91887664724
"etort-90","etort-90",0
"etort-15","etort-93",141389.899440418
"etort-17","etort-93",200302.483732408
"etort-31","etort-93",176503.692454898
"etort-36","etort-93",22198.5509004068
"etort-37","etort-93",100791.157592112
"etort-38","etort-93",106121.949263336
"etort-46","etort-93",89996.8814762925
"etort-47","etort-93",90489.4845856349
"etort-48","etort-93",88215.1193703759
"etort-49","etort-93",103974.768687953
"etort-51","etort-93",108402.314464016
"etort-53","etort-93",136980.923841575
"etort-55","etort-93",88334.583630992
"etort-56 (sheared2)","etort-93",48318.835658559
"etort-58","etort-93",167765.315497946
"etort-59","etort-93",92889.6680616142
"etort-62","etort-93",96236.6563449284
"etort-78","etort-93",63908.0503980754
"etort-79","etort-93",26578.7252002615
"etort-80","etort-93",17903.3965072816
"etort-81","etort-93",81660.6518006993
"etort-82","etort-93",83823.8701955029
"etort-83","etort-93",83275.6968340516
"etort-84","etort-93",85760.610966723
"etort-85","etort-93",84319.0630099216
"etort-86","etort-93",142910.874614833
"etort-87","etort-93",30376.0494545889
"etort-89","etort-93",84601.2206788538
"etort-90","etort-93",83025.6410523509
"etort-93","etort-93",0
"etort-15","etort-94",143345.392414197
"etort-17","etort-94",208237.792689181
"etort-31","etort-94",183556.634848389
"etort-36","etort-94",66656.3001264427
"etort-37","etort-94",146671.920594355
"etort-38","etort-94",117331.851061124
"etort-46","etort-94",44206.3363177727
"etort-47","etort-94",44827.0739375007
"etort-48","etort-94",42617.2732172382
"etort-49","etort-94",60096.1741230073
"etort-51","etort-94",64449.313521255
"etort-53","etort-94",132464.325058533
"etort-55","etort-94",42878.5970935383
"etort-56 (sheared2)","etort-94",5150.13736671691
"etort-58","etort-94",198663.061738963
"etort-59","etort-94",70490.1889009959
"etort-62","etort-94",87522.0358896616
"etort-78","etort-94",102178.653491129
"etort-79","etort-94",36717.4945939822
"etort-80","etort-94",44648.459294017
"etort-81","etort-94",37192.2614572786
"etort-82","etort-94",39423.794349744
"etort-83","etort-94",38964.3960186949
"etort-84","etort-94",41072.8794110676
"etort-85","etort-94",39417.5006154514
"etort-86","etort-94",164706.665797872
"etort-87","etort-94",45635.2093358652
"etort-89","etort-94",40359.3498815337
"etort-90","etort-94",39461.0184035935
"etort-93","etort-94",45949.9752372284
"etort-94","etort-94",0
"etort-15","etort-95",95656.2905576494
"etort-17","etort-95",160061.769343962
"etort-31","etort-95",135395.488646787
"etort-36","etort-95",74871.6453055185
"etort-37","etort-95",141111.640734951
"etort-38","etort-95",69642.7495449856
"etort-46","etort-95",71835.0595844816
"etort-47","etort-95",71111.3817721259
"etort-48","etort-95",68918.5903605303
"etort-49","etort-95",98934.9391079063
"etort-51","etort-95",102704.192674588
"etort-53","etort-95",86614.0420756768
"etort-55","etort-95",68132.8606281116
"etort-56 (sheared2)","etort-95",53360.4581832978
"etort-58","etort-95",158037.481874635
"etort-59","etort-95",39537.5965254003
"etort-62","etort-95",42829.8183813085
"etort-78","etort-95",76674.9817838219
