"etort1","etort2","covariance"
"etort-58","etort-135",0.002979
"etort-59","etort-135",0.000395
"etort-62","etort-135",0.002435
"etort-78","etort-135",0.002112
"etort-79","etort-135",0.002414
"etort-80","etort-135",0.002403
"etort-81","etort-135",0.001848
"etort-82","etort-135",0.002174
"etort-83","etort-135",0.00188
"etort-84","etort-135",0.002524
"etort-85","etort-135",0.002355
"etort-86","etort-135",0.002302
"etort-87","etort-135",0.001834
"etort-89","etort-135",0.002385
"etort-90","etort-135",0.004421
"etort-93","etort-135",0.001959
"etort-94","etort-135",0.0016
"etort-95","etort-135",0.002716
"etort-112","etort-135",0.000747
"etort-113","etort-135",0.00083
"etort-130","etort-135",0.002635
"etort-131","etort-135",0.002863
"etort-132","etort-135",0.003531
"etort-133","etort-135",0.002561
"etort-134","etort-135",0.003194
"etort-135","etort-135",0.133758
"etort-15","etort-136",0.002594
"etort-17","etort-136",0.002197
"etort-31","etort-136",0.00383
"etort-36","etort-136",0.002259
"etort-37","etort-136",0.002871
"etort-38","etort-136",0.003047
"etort-46","etort-136",0.001385
"etort-47","etort-136",0.001472
"etort-48","etort-136",0.001451
"etort-49","etort-136",0.001259
"etort-51","etort-136",0.000551
"etort-53","etort-136",0.002848
"etort-55","etort-136",0.001546
"etort-56 (sheared2)","etort-136",0.001613
"etort-58","etort-136",0.003181
"etort-59","etort-136",0.00067
"etort-62","etort-136",0.002838
"etort-78","etort-136",0.002376
"etort-79","etort-136",0.001998
"etort-80","etort-136",0.002123
"etort-81","etort-136",0.001663
"etort-82","etort-136",0.002707
"etort-83","etort-136",0.002153
"etort-84","etort-136",0.002135
"etort-85","etort-136",0.002329
"etort-86","etort-136",0.00236
"etort-87","etort-136",0.001973
"etort-89","etort-136",0.002034
"etort-90","etort-136",0.003584
"etort-93","etort-136",0.001836
"etort-94","etort-136",0.001652
"etort-95","etort-136",0.002976
