"etort1","etort2","DISTANCE","pi","npi"
"etort-2","etort-44",159.33723,0.203784,0.225108250493496
"etort-2","etort-45",157.9006568,0.203207,0.226440097264454
"etort-2","etort-46",187.0982718,0.212553,0.241225224115027
"etort-2","etort-47",188.6680588,0.214789,0.243227817610148
"etort-2","etort-48",190.0073888,0.207221,0.239649779288184
"etort-2","etort-49",156.2424242,0.212668,0.239712118692253
"etort-2","etort-50",156.2386705,0.200582,0.232831272441904
"etort-2","etort-51",153.7082462,0.217673,0.238866795343161
"etort-2","etort-52",154.3879291,0.205682,0.225492334132574
"etort-2","etort-53",325.0254907,0.223351,0.264402799431961
"etort-2","etort-54",162.1165451,0.201,0.224861962308179
"etort-2","etort-55",191.3155479,0.21555,0.243392362907168
"etort-2","etort-56",199.0262287,0.214048,0.243314704842119
"etort-2","etort-57",111.6729506,0.192077,0.224686186521062
"etort-2","etort-58",400.5667756,0.223276,0.280262046564914
"etort-2","etort-59",255.9287839,0.211012,0.242218223355727
"etort-2","etort-60",67.63574962,0.195514,0.228706648883752
"etort-2","etort-61",85.42829155,0.19808,0.22598626657799
"etort-2","etort-62",282.4606264,0.21953,0.253406146098018
"etort-2","etort-63",93.17112954,0.195976,0.220924979415667
"etort-2","etort-64",59.58232383,0.197641,0.226126514929016
"etort-2","etort-65",86.7543075,0.194193,0.22493962336409
"etort-2","etort-66",40.6848446,0.195697,0.227607308807534
"etort-2","etort-67",46.44551446,0.197157,0.225362212080132
"etort-2","etort-68",50.85731774,0.192737,0.225968582704925
"etort-2","etort-69",87.21241385,0.19798,0.22547054782729
"etort-2","etort-70",159.0098534,0.204171,0.227843899297903
"etort-2","etort-71",108.8148057,0.193375,0.225053833290198
"etort-2","etort-72",103.7260027,0.193761,0.230070949181081
"etort-2","etort-73",104.7664652,0.195571,0.22314471028496
"etort-2","etort-74",91.32426627,0.198707,0.223942527994789
"etort-2","etort-75",154.9618031,0.216645,0.239533138494618
"etort-2","etort-76",155.3138136,0.21342,0.237440858965703
"etort-2","etort-77",121.27616,0.200911,0.223466198990628
"etort-2","etort-78",297.5445721,0.220071,0.263434933828197
"etort-2","etort-79",239.0406259,0.218421,0.250657421949199
"etort-2","etort-80",243.1158089,0.21758,0.252106383197001
"etort-2","etort-81",198.7375254,0.216241,0.243693263577205
"etort-2","etort-82",198.733862,0.219465,0.245995778892109
"etort-2","etort-83",199.2236153,0.21779,0.243736150864331
"etort-2","etort-84",196.9854156,0.217935,0.244094052112258
"etort-2","etort-85",196.0541873,0.21676,0.242378060332183
"etort-2","etort-86",368.9008146,0.221197,0.272250971338112
"etort-2","etort-87",248.2889626,0.216843,0.251533251306146
"etort-2","etort-88",166.8433407,0.210673,0.235409347762455
"etort-2","etort-89",199.3707292,0.217181,0.24152392019383
"etort-2","etort-90",202.3801784,0.22162,0.244583609727313
"etort-2","etort-91",163.5141302,0.215332,0.237885983923471
"etort-2","etort-92",188.7976897,0.213416,0.23823077029309
"etort-2","etort-93",233.6584062,0.217907,0.253103238938609
"etort-2","etort-94",204.086576,0.216656,0.244316080616284
"etort-2","etort-95",250.7331042,0.219317,0.252168727044949
"etort-2","etort-96",134.3391045,0.202497,0.224466967623428
"etort-2","etort-97",198.6757231,0.198552,0.229714726020848
"etort-2","etort-98",166.9098116,0.20336,0.226504805179601
"etort-2","etort-99",187.1725831,0.205543,0.229163908409045
"etort-2","etort-100",201.3208189,0.20424,0.231981006005373
"etort-2","etort-102",169.3852777,0.196583,0.230876723428381
"etort-2","etort-103",132.4396359,0.19408,0.225881803021155
"etort-2","etort-104",174.9474842,0.198627,0.226274295232171
"etort-2","etort-105",186.6961555,0.196825,0.228929648102073
"etort-2","etort-106",165.3657272,0.187205,0.228279167023603
"etort-2","etort-107",161.450087,0.181791,0.228977376747761
"etort-2","etort-108",187.0917494,0.182405,0.232747738595591
"etort-2","etort-109",125.5329037,0.185446,0.227769418548487
"etort-2","etort-110",149.725599,0.196929,0.229194171459635
"etort-2","etort-111",143.4419487,0.194003,0.226457336652271
"etort-2","etort-112",261.4127564,0.218597,0.246196166267517
"etort-2","etort-113",244.5946167,0.215766,0.241818704201619
"etort-2","etort-115",181.8225479,0.204911,0.225395825967137
"etort-2","etort-116",192.6672942,0.202995,0.22756939789063
"etort-2","etort-117",210.5265819,0.203743,0.228960745923287
"etort-2","etort-119",135.0829759,0.20219,0.243101989302992
"etort-2","etort-120",147.5712316,0.198639,0.236056470811745
"etort-2","etort-121",112.8366434,0.195423,0.224086837097457
"etort-2","etort-122",116.0692313,0.199895,0.228657026890825
"etort-2","etort-123",115.60354,0.19662,0.224356023660265
"etort-2","etort-124",117.2285758,0.195821,0.226315540908205
"etort-2","etort-125",115.6051937,0.196233,0.223745480419412
"etort-2","etort-126",114.9407924,0.196879,0.225768353861725
"etort-2","etort-127",115.1812502,0.197533,0.224373738430167
"etort-2","etort-128",114.5846257,0.193823,0.223326914120296
"etort-2","etort-129",116.3816139,0.194483,0.223655362499265
"etort-2","etort-130",208.5976433,0.217109,0.242241986393954
"etort-2","etort-131",218.6020534,0.217187,0.245309274001832
"etort-2","etort-132",208.5238867,0.218823,0.244496973258605
"etort-2","etort-133",209.7439619,0.217497,0.242017754172259
"etort-2","etort-134",206.1615385,0.217565,0.24386134492096
"etort-2","etort-135",205.6070708,0.218484,0.247093484974469
"etort-2","etort-136",211.3658617,0.21867,0.246150339171011
"etort-2","etort-137",206.1982673,0.218941,0.242477128975043
"etort-2","etort-138",207.652341,0.219083,0.245118566617243
"etort-2","etort-139",212.2341463,0.218734,0.244280317632004
"etort-2","etort-140",210.266315,0.222209,0.248922471666877
"etort-2","etort-141",210.8068417,0.222162,0.24806070294893
"etort-2","etort-142",212.0990694,0.217331,0.244255479220613
"etort-2","etort-143",203.7780504,0.219523,0.246702376650259
"etort-2","etort-144",204.53161,0.218,0.24485205213162
"etort-2","etort-145",206.2285858,0.217043,0.247443860034023
"etort-2","etort-146",209.2244917,0.21663,0.244957841330793
"etort-2","etort-147",215.8158275,0.219191,0.246193397492542
"etort-2","etort-148",215.2907506,0.2138,0.23822642378834
"etort-2","etort-149",215.2870432,0.216701,0.245468700547458
"etort-2","etort-150",211.3400187,0.216722,0.244234033569046
"etort-2","etort-151",212.3329552,0.220093,0.24500422551728
"etort-2","etort-152",213.7692648,0.217573,0.243524178368012
"etort-2","etort-153",213.0785729,0.21643,0.24423240350945
"etort-2","etort-154",213.1727297,0.215621,0.242083490783533
"etort-2","etort-155",214.2292929,0.217197,0.244802224933863
"etort-2","etort-156",215.0350951,0.219002,0.246802671162136
"etort-2","etort-157",213.2735384,0.218604,0.244799053008826
"etort-2","etort-158",210.3511797,0.21301,0.239067199723679
"etort-2","etort-159",205.8137416,0.215766,0.242388292251503
"etort-2","etort-161",204.5387736,0.218019,0.245095662064251
"etort-2","etort-162",203.8896104,0.219323,0.244267932722115
"etort-2","etort-163",210.853982,0.217257,0.244472726904323
"etort-2","etort-164",209.5804068,0.219516,0.247795208616908
"etort-2","etort-166",211.9840149,0.220328,0.247413989382491
"etort-2","etort-167",213.2478965,0.218372,0.247012653426929
"etort-2","etort-168",213.7868111,0.219921,0.245360680312731
"etort-2","etort-169",216.8740736,0.219944,0.246374358265009
"etort-2","etort-170",224.1999275,0.220053,0.247414717728277
"etort-2","etort-172",221.6635538,0.219655,0.247414472851583
"etort-2","etort-173",223.4555413,0.218925,0.245310216126744
"etort-2","etort-174",223.6255479,0.220161,0.245152625362505
"etort-2","etort-175",222.8881545,0.219385,0.246749181000194
"etort-2","etort-176",222.7379169,0.215427,0.243186401875086
"etort-2","etort-177",221.0825305,0.218687,0.24612901229609
"etort-2","etort-178",221.8884715,0.220184,0.248231036828686
"etort-2","etort-179",220.3390302,0.220283,0.247834153964413
"etort-2","etort-180",222.9404738,0.217332,0.245698615210969
"etort-2","etort-181",224.2948629,0.219937,0.246120473814547
"etort-2","etort-182",218.9838023,0.219898,0.24869959373075
"etort-2","etort-183",218.1999984,0.219952,0.245209406000049
"etort-2","etort-184",220.2741341,0.220258,0.246068899432649
"etort-2","etort-185",219.1828996,0.220239,0.246862313270751
"etort-2","etort-186",226.6493459,0.217008,0.246390990530566
"etort-2","etort-187",220.3469311,0.220687,0.246811188971986
"etort-3","etort-4",24.08479105,0.190355,0.207926563213432
"etort-3","etort-5",51.27417676,0.19778,0.213565714700778
"etort-3","etort-6",153.2749552,0.207926,0.221535002550539
"etort-3","etort-7",172.74171,0.211739,0.229784441896294
"etort-3","etort-8",156.3821199,0.20534,0.221872888443678
"etort-3","etort-9",120.6626932,0.198939,0.222574625033505
"etort-3","etort-10",156.3327306,0.194773,0.228346683478559
"etort-3","etort-11",111.0262619,0.194804,0.216766819963845
"etort-3","etort-12",145.66336,0.211676,0.229563781014481
"etort-3","etort-13",50.0844189,0.194172,0.218637397302736
"etort-3","etort-14",66.45526932,0.198556,0.223462042121133
"etort-3","etort-15",280.0590342,0.221537,0.256952579880532
"etort-3","etort-16",65.99520652,0.202619,0.213455468398355
"etort-3","etort-17",346.112337,0.223072,0.270559553739246
"etort-3","etort-18",110.1104726,0.190997,0.214572958013526
"etort-3","etort-19",37.75713815,0.192796,0.212389447649962
"etort-3","etort-20",29.72996552,0.19319,0.212573890205833
"etort-3","etort-21",153.5972695,0.193781,0.224290567967526
"etort-3","etort-22",142.0976251,0.19172,0.222302802656164
"etort-3","etort-23",102.2710764,0.19812,0.216541956696278
"etort-3","etort-24",140.1877967,0.196493,0.221561942937338
"etort-3","etort-25",122.559196,0.199003,0.218369760607268
"etort-3","etort-26",132.9807666,0.200139,0.225187341469244
"etort-3","etort-27",190.2053169,0.196559,0.2274710558054
"etort-3","etort-28",204.1656857,0.198053,0.230067803046962
"etort-3","etort-30",176.682625,0.213731,0.232780646763979
"etort-3","etort-31",322.1195885,0.227298,0.266644551449975
"etort-3","etort-32",162.5038674,0.203212,0.219801558055054
"etort-3","etort-33",113.1715633,0.202665,0.218847600075841
"etort-3","etort-34",124.318186,0.203251,0.224146727810035
"etort-3","etort-35",168.5800775,0.208532,0.224226449994873
"etort-3","etort-36",207.6632514,0.219281,0.247107253903745
"etort-3","etort-37",284.0558704,0.224305,0.266467932449394
"etort-3","etort-38",265.2730345,0.224346,0.25509378560426
"etort-3","etort-39",132.8400543,0.203376,0.224017234409409
"etort-3","etort-40",121.9527162,0.202633,0.220111638913167
"etort-3","etort-41",133.0143047,0.205829,0.218241503575304
"etort-3","etort-42",144.5404586,0.202945,0.220861077166606
"etort-3","etort-43",90.5264186,0.203651,0.217098331449593
"etort-3","etort-44",92.84358688,0.202321,0.215921147266963
"etort-3","etort-45",88.1700051,0.201819,0.21727492290878
"etort-3","etort-46",127.5056825,0.212564,0.233065547573394
"etort-3","etort-47",128.7377661,0.215122,0.235352556410895
"etort-3","etort-48",130.5395602,0.20853,0.232993978627982
"etort-3","etort-49",98.4036134,0.21286,0.231800723679025
"etort-3","etort-50",97.44814421,0.200484,0.224833985495908
"etort-3","etort-51",94.76768176,0.215005,0.227946362373691
"etort-3","etort-52",88.30727164,0.202895,0.214901638287162
"etort-3","etort-53",262.867208,0.224902,0.257219773460184
"etort-3","etort-54",96.45730069,0.199611,0.215743289041883
"etort-3","etort-55",131.6579155,0.213696,0.233124650941921
"etort-3","etort-56",150.9482133,0.214231,0.235273158778578
"etort-3","etort-57",78.86454191,0.197687,0.223414834387369
"etort-3","etort-58",353.7564473,0.224144,0.271820526870365
"etort-3","etort-59",194.660807,0.209907,0.232787399245652
"etort-3","etort-60",86.1252158,0.190406,0.215186214257665
"etort-3","etort-61",61.48097078,0.200116,0.220574914528267
"etort-3","etort-62",222.9174047,0.219753,0.245070459663329
"etort-3","etort-63",30.42378979,0.195593,0.213023800252288
"etort-3","etort-64",18.81324666,0.190315,0.210368326540512
"etort-3","etort-65",47.24488755,0.193622,0.216680575563892
"etort-3","etort-66",32.11147099,0.193669,0.217618108880566
"etort-3","etort-67",29.99360575,0.192004,0.212037198816916
"etort-3","etort-68",22.28389681,0.186012,0.210696254485146
"etort-3","etort-69",71.3667525,0.193255,0.212633714163149
"etort-3","etort-70",100.8122304,0.200629,0.216306685785158
"etort-3","etort-71",72.79336987,0.197626,0.222209721192677
"etort-3","etort-72",85.53489525,0.19759,0.226669592749944
"etort-3","etort-73",39.87681062,0.194154,0.214023453842297
"etort-3","etort-74",80.64488155,0.194398,0.21166453093215
"etort-3","etort-75",98.65184945,0.214454,0.229078310686523
"etort-3","etort-76",98.36875041,0.211647,0.227491587922387
"etort-3","etort-77",57.16688723,0.200246,0.215181466224472
"etort-3","etort-78",256.3461845,0.219815,0.254214758480696
"etort-3","etort-79",192.162822,0.217602,0.241258123870257
"etort-3","etort-80",198.9930624,0.217956,0.2439869424127
"etort-3","etort-81",140.0530558,0.214095,0.233101406496124
"etort-3","etort-82",139.4861687,0.218665,0.236796100462261
"etort-3","etort-83",140.0709169,0.217538,0.235206885356456
"etort-3","etort-84",137.4053963,0.217002,0.234815541002606
"etort-3","etort-85",136.946231,0.216829,0.234241810571896
"etort-3","etort-86",316.6795496,0.222438,0.26450389581494
"etort-3","etort-87",201.0861536,0.215664,0.241691033889572
"etort-3","etort-88",107.3284081,0.209808,0.226500807322396
"etort-3","etort-89",139.8654781,0.218466,0.234722684650151
"etort-3","etort-90",143.0150425,0.222617,0.237361135951614
"etort-3","etort-91",103.8798624,0.214093,0.228504961461777
"etort-3","etort-92",135.6957777,0.212647,0.229331137618111
"etort-3","etort-93",194.0322585,0.217083,0.2436044525507
"etort-3","etort-94",155.4688362,0.216466,0.235832638592199
"etort-3","etort-95",197.3245191,0.220313,0.244732665252713
"etort-3","etort-96",65.34721841,0.202156,0.216497740392141
"etort-3","etort-97",126.7842083,0.198709,0.222108405656342
"etort-3","etort-98",94.39705466,0.203588,0.219077082471874
"etort-3","etort-99",114.6292346,0.202497,0.218119759013715
"etort-3","etort-100",131.0351437,0.202897,0.222648686521478
"etort-3","etort-102",97.44273202,0.195134,0.221411424020267
"etort-3","etort-103",60.90515489,0.194018,0.218160123944681
"etort-3","etort-104",102.4112883,0.19796,0.2178749341783
"etort-3","etort-105",114.3124274,0.195731,0.219945095206136
"etort-3","etort-106",129.2834984,0.195846,0.230725941644049
"etort-3","etort-107",129.0753762,0.189826,0.23099829772339
"etort-3","etort-108",151.2597204,0.188672,0.232588945893721
"etort-3","etort-109",92.86092811,0.191211,0.226894360629916
"etort-3","etort-110",121.5889413,0.203945,0.229318895857865
"etort-3","etort-111",111.2590794,0.201275,0.226986835856728
"etort-3","etort-112",198.5222908,0.21739,0.236542693101053
