"pop.density","sigma","refugia.coords.1","refugia.coords.2","refugia.coords.3","refugia.coords.4","refugia.radii","refugia.time","expansion.time","expansion.speed","expansion.width","seed","score","dir","ntrees","hab.fact"
8.3117e-08,5251.6236,552970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,954575357,425849,"./run_847271/iter_764446",500,32
8.4381e-08,5416.5929,547440.7902,593867.5416,3841745.9968,3981288.3104,123091.6485,109392.0599,13395.2689,0.719,43293.1721,56205018,426075.1,"./run_847271/iter_159054",500,32
8.4517e-08,5584.993,542102.2195,597973.8105,3853055.6208,3991605.9853,123804.1537,101551.9984,13545.0299,0.7213,43257.5163,272345186,426443.3,"./run_847271/iter_589921",500,32
8.4342e-08,5318.5302,547430.2841,593768.707,3841764.2003,3981314.2818,123082.2714,109038.0911,13396.8919,0.7198,43290.7253,245869772,426502,"./run_847271/iter_584464",500,32
8.4357e-08,5433.6213,547947.2554,594149.9309,3842787.8515,3983153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,1080242609,426755.7,"./run_847271/iter_697235",500,32
8.443e-08,5602.2256,544751.4009,595882.9797,3847441.3832,3991516.6927,123445.2246,105274.1787,13471.3738,0.7206,43274.0283,472341167,426837.3,"./run_847271/iter_230126",500,32
8.6112e-08,5639.1776,538610.9194,604501.8188,3860765.9263,4015861.2054,124641.5664,112793.105,13495.2411,0.7311,43331.5992,1381989400,426872.6,"./run_847271/iter_711329",500,32
8.5048e-08,6089.1335,525965.9324,610709.1584,3887252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.727,43156.9415,401720037,426898.8,"./run_847271/iter_815066",500,32
8.5048e-08,6089.1335,525965.9324,610709.1584,3877252.2036,4063060.3364,125990.4072,78880.0249,13993.6725,0.726,43156.9415,1810803850,426958.5,"./run_847271/iter_830045",500,32
8.4379e-08,5354.5461,546277.5031,594678.524,3844207.214,3985704.5983,123238.4579,107418.3988,13428.9431,0.7201,43283.5402,1659334546,426976.9,"./run_847271/iter_547580",500,32
1.2127e-07,6715.3875,649996.097,745987.6163,4019705.0848,4147693.7773,111795.1886,60801.3293,18935.5167,0.6637,56858.1133,172792455,426996.9,"./run_369849/iter_000004",500,32
9.5286e-08,6826.3963,491558.0597,661075.8185,3962086.5931,4200000,132894.1258,129877.6875,14662.0277,0.7894,43432.1635,1623191010,427764.6,"./run_847271/iter_076729",500,32
8.4342e-08,5418.5302,547430.2841,593768.707,3841764.2003,3981314.2818,122982.2714,109038.0911,13396.8919,0.7198,43290.7253,1432968458,428255.8,"./run_847271/iter_876295",500,32
8.4357e-08,5433.6213,546947.2554,594149.9309,3842787.8515,3973153.8755,123147.7154,108359.4211,13410.3217,0.72,43287.7147,867487708,428419.5,"./run_847271/iter_626687",500,32
8.4379e-08,5454.5461,546277.5031,594678.524,3844207.214,3985704.5983,123138.4579,107418.3988,13428.9431,0.7201,43283.5402,720646671,429501.4,"./run_847271/iter_016540",500,32
8.4381e-08,5416.5929,547440.7902,593867.5416,3841745.9968,3971288.3104,123091.6485,109392.0599,13395.2689,0.72,43293.1721,511482893,429531.1,"./run_847271/iter_758089",500,32
8.4331e-08,5408.7629,547742.9097,592521.9714,3841101.6731,3980123.6605,123039.9147,109477.3396,13388.1999,0.7197,43292.6738,1120753393,429621.6,"./run_847271/iter_415175",500,32
4.0872e-07,19592.8493,554004.5776,426015.8851,4051702.2579,4051702.2579,80667.2914,15271.6692,7198.2551,0.3815,36065.4392,148973585,429628,"./run_015059/iter_000069",500,32
8.4117e-08,5251.6236,553970.7876,586033.8834,3827690.953,3955751.2011,121947.6128,107216.0383,13247.0009,0.712,43266.1273,1251121477,429754.3,"./run_847271/iter_772566",500,32
